onset	duration	sample	trial_type	response_time	stim_file	value
1416.3000000000	n/a	n/a	Fixation	n/a	n/a	S100
1417.3420000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1417.8000000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1418.1860000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1418.7520000000	n/a	n/a	Fixation	n/a	n/a	S100
1419.7340000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1420.1840000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1420.5880000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1421.1540000000	n/a	n/a	Fixation	n/a	n/a	S100
1422.2060000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1422.6080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1423.0560000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1423.6220000000	n/a	n/a	Fixation	n/a	n/a	S100
1424.6440000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1425.1080000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1425.4240000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1425.9920000000	n/a	n/a	Fixation	n/a	n/a	S100
1426.9820000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1427.6200000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1428.0260000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1428.5940000000	n/a	n/a	Fixation	n/a	n/a	S100
1429.6340000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1430.0360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1430.3440000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1430.9120000000	n/a	n/a	Fixation	n/a	n/a	S100
1431.7720000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1432.2480000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1432.6640000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1433.2300000000	n/a	n/a	Fixation	n/a	n/a	S100
1434.2620000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1434.7000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1435.1660000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1435.7320000000	n/a	n/a	Fixation	n/a	n/a	S100
1436.7640000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1437.2720000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1437.7340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1438.3000000000	n/a	n/a	Fixation	n/a	n/a	S100
1439.2620000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1439.7400000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1440.2020000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1440.7700000000	n/a	n/a	Fixation	n/a	n/a	S100
1441.7300000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1442.2360000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1442.5380000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1443.1040000000	n/a	n/a	Fixation	n/a	n/a	S100
1444.0360000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1444.5000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1444.9220000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1445.4900000000	n/a	n/a	Fixation	n/a	n/a	S100
1446.5100000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1446.9920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1447.2900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1447.8580000000	n/a	n/a	Fixation	n/a	n/a	S100
1448.7400000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1449.2160000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1449.6100000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1494.5100000000	n/a	n/a	Fixation	n/a	n/a	S100
1495.5420000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1496.3720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1496.8120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1497.3800000000	n/a	n/a	Fixation	n/a	n/a	S100
1498.2500000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1498.7040000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1499.0800000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1499.6480000000	n/a	n/a	Fixation	n/a	n/a	S100
1500.5680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1501.2600000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1501.7000000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1502.2660000000	n/a	n/a	Fixation	n/a	n/a	S100
1503.3180000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1503.6440000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1504.0180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1504.5840000000	n/a	n/a	Fixation	n/a	n/a	S100
1505.5960000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1505.9320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1506.3700000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1506.9360000000	n/a	n/a	Fixation	n/a	n/a	S100
1507.8780000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1508.2240000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1508.6540000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1509.2220000000	n/a	n/a	Fixation	n/a	n/a	S100
1510.1420000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1510.5080000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1510.8900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1511.4560000000	n/a	n/a	Fixation	n/a	n/a	S100
